Rider_Link,Rider,Team,Class,Cost,Selected,Points,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20210838,Primož Roglič,Team Jumbo-Visma,All Rounder,26,76.8%,3403,1801,1124,184,114,16,90,0,74,3403
riderprofile.php?rider=20210518,Egan Bernal,INEOS Grenadiers,All Rounder,22,44.3%,1486,768,534,10,10,20,34,0,110,1486
riderprofile.php?rider=20210519,Richard Carapaz,INEOS Grenadiers,Climber,18,22.2%,63,4,13,0,0,0,0,0,46,63
riderprofile.php?rider=20210153,Mikel Landa,Bahrain - Victorious,Climber,16,30.3%,203,78,69,0,0,0,0,20,36,203
riderprofile.php?rider=20210546,Adam Yates,INEOS Grenadiers,All Rounder,16,15.6%,1611,898,584,0,0,0,21,0,108,1611
riderprofile.php?rider=20210045,Jasper Philipsen,Alpecin-Fenix,Sprinter,14,17.6%,784,670,0,92,0,22,0,0,0,784
riderprofile.php?rider=20210384,Hugh Carthy,EF Education - Nippo,Climber,14,28.8%,20,8,2,0,0,0,0,0,10,20
riderprofile.php?rider=20210492,Arnaud Démare,Groupama - FDJ,Sprinter,14,11.0%,531,455,0,36,0,20,0,20,0,531
riderprofile.php?rider=20210114,Aleksandr Vlasov,Astana - Premier Tech,All Rounder,12,19.8%,566,396,162,0,0,0,0,0,8,566
riderprofile.php?rider=20210540,Pavel Sivakov,INEOS Grenadiers,All Rounder,12,2.8%,376,160,0,0,54,18,16,20,108,376
riderprofile.php?rider=20210647,Miguel Ángel López,Movistar Team,Climber,12,14.9%,1385,922,309,0,2,0,60,0,92,1385
riderprofile.php?rider=20210648,Enric Mas,Movistar Team,All Rounder,12,21.5%,2267,1173,911,42,15,0,48,0,78,2267
riderprofile.php?rider=20210661,Alejandro Valverde,Movistar Team,All Rounder,12,8.2%,221,120,61,0,0,0,0,0,40,221
riderprofile.php?rider=20210159,Mark Padun,Bahrain - Victorious,Climber,10,16.8%,186,16,0,0,0,16,2,40,112,186
riderprofile.php?rider=20210237,Jordi Meeus,BORA - hansgrohe,Sprinter,10,0.9%,534,526,0,0,0,0,0,0,8,534
riderprofile.php?rider=20210244,Maximilian Schachmann,BORA - hansgrohe,Unclassed,10,21.0%,8,0,0,0,0,0,0,0,8,8
riderprofile.php?rider=20210273,Jon Aberasturi,Caja Rural - Seguros RGA,Sprinter,10,2.0%,450,450,0,0,0,0,0,0,0,450
riderprofile.php?rider=20210339,Fabio Jakobsen,Deceuninck - Quick Step,Sprinter,10,31.6%,1420,1020,0,340,0,40,0,0,20,1420
riderprofile.php?rider=20210534,Thomas Pidcock,INEOS Grenadiers,Unclassed,10,35.8%,280,140,0,0,0,6,4,20,110,280
riderprofile.php?rider=20210760,Michael Matthews,Team BikeExchange,Sprinter,10,30.0%,982,900,22,60,0,0,0,0,0,982
riderprofile.php?rider=20210790,Romain Bardet,Team DSM,Climber,10,15.8%,978,514,54,0,228,26,50,80,26,978
riderprofile.php?rider=20210832,Sepp Kuss,Team Jumbo-Visma,Climber,10,16.5%,1290,595,404,0,40,0,35,20,196,1290
riderprofile.php?rider=20210920,Giulio Ciccone,Trek - Segafredo,Climber,10,14.7%,479,316,143,0,0,0,2,0,18,479
riderprofile.php?rider=20210966,Juan Sebastián Molano,UAE-Team Emirates,Sprinter,10,2.9%,323,292,0,1,0,0,0,0,30,323
riderprofile.php?rider=20210974,Matteo Trentin,UAE-Team Emirates,Sprinter,10,4.4%,980,669,0,107,0,48,6,60,90,980
riderprofile.php?rider=20210044,Sacha Modolo,Alpecin-Fenix,Sprinter,8,1.4%,90,70,0,0,0,0,0,0,20,90
riderprofile.php?rider=20210085,Alex Aranburu,Astana - Premier Tech,Unclassed,8,15.0%,435,345,26,24,0,16,0,20,4,435
riderprofile.php?rider=20210100,Ion Izagirre,Astana - Premier Tech,All Rounder,8,7.6%,172,115,27,0,0,0,2,20,8,172
riderprofile.php?rider=20210145,Damiano Caruso,Bahrain - Victorious,Climber,8,7.7%,730,244,133,0,166,18,45,20,104,730
riderprofile.php?rider=20210149,Jack Haig,Bahrain - Victorious,Climber,8,8.4%,1720,824,649,0,61,0,56,20,110,1720
riderprofile.php?rider=20210161,Wout Poels,Bahrain - Victorious,Climber,8,8.6%,203,37,40,0,0,8,6,0,112,203
riderprofile.php?rider=20210310,Guillaume Martin,Cofidis,Climber,8,10.1%,575,143,428,0,0,0,0,0,4,575
riderprofile.php?rider=20210326,Andrea Bagioli,Deceuninck - Quick Step,Unclassed,8,6.7%,706,592,15,15,0,16,2,20,46,706
riderprofile.php?rider=20210341,James Knox,Deceuninck - Quick Step,Climber,8,2.9%,52,0,0,0,0,0,0,0,52,52
riderprofile.php?rider=20210351,Mauri Vansevenant,Deceuninck - Quick Step,All Rounder,8,5.6%,228,180,0,0,0,0,0,0,48,228
riderprofile.php?rider=20210583,Davide Cimolai,Israel Start-Up Nation,Sprinter,8,3.2%,0,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20210762,Luka Mezgec,Team BikeExchange,Sprinter,8,1.4%,146,140,0,0,0,0,0,0,6,146
riderprofile.php?rider=20210795,Alberto Dainese,Team DSM,Sprinter,8,0.9%,966,880,0,60,0,0,0,0,26,966
riderprofile.php?rider=20210831,Steven Kruijswijk,Team Jumbo-Visma,All Rounder,8,4.1%,819,404,193,0,0,16,10,0,196,819
riderprofile.php?rider=20210865,Fabio Aru,Team Qhubeka ASSOS,Climber,8,5.6%,214,75,64,0,5,0,10,60,0,214
