Rider_Link,Rider,Team,Class,Points,Cost,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20202043,Luca Chirico,Androni Giocattoli - Sidermec,Unclassed,20,4,0,0,0,0,0,0,20,0,20
riderprofile.php?rider=20202052,Simon Pellaud,Androni Giocattoli - Sidermec,Unclassed,442,4,205,0,15,7,115,0,100,0,442
riderprofile.php?rider=20202053,Simone Ravanelli,Androni Giocattoli - Sidermec,Unclassed,160,4,110,0,0,0,10,0,40,0,160
riderprofile.php?rider=20202056,Josip Rumac,Androni Giocattoli - Sidermec,Unclassed,35,4,0,0,0,0,15,0,20,0,35
riderprofile.php?rider=20201058,Yukiya Arashiro,Bahrain - McLaren,Unclassed,76,4,0,0,0,0,0,0,0,76,76
riderprofile.php?rider=20201064,Eros Capecchi,Bahrain - McLaren,Unclassed,80,4,4,0,0,0,0,0,0,76,80
riderprofile.php?rider=20201076,Domen Novak,Bahrain - McLaren,Unclassed,118,4,40,0,0,0,0,2,0,76,118
riderprofile.php?rider=20202107,Luca Covili,Bardiani-CSF-Faizanè,Unclassed,0,4,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20202110,Filippo Fiorelli,Bardiani-CSF-Faizanè,Unclassed,215,4,195,0,0,0,0,0,20,0,215
riderprofile.php?rider=20202113,Fabio Mazzucco,Bardiani-CSF-Faizanè,Unclassed,20,4,0,0,0,0,0,0,20,0,20
riderprofile.php?rider=20202118,Francesco Romano,Bardiani-CSF-Faizanè,Unclassed,70,4,0,0,0,0,30,0,40,0,70
riderprofile.php?rider=20202121,Alessandro Tonelli,Bardiani-CSF-Faizanè,Unclassed,150,4,60,0,0,0,10,0,80,0,150
riderprofile.php?rider=20202123,Filippo Zana,Bardiani-CSF-Faizanè,Unclassed,50,4,0,0,0,0,10,0,40,0,50
riderprofile.php?rider=20201089,Cesare Benedetti,BORA - hansgrohe,Unclassed,86,4,12,0,0,0,10,0,20,44,86
riderprofile.php?rider=20201095,Patrick Gamper,BORA - hansgrohe,Unclassed,16,4,0,0,0,0,0,0,0,16,16
riderprofile.php?rider=20201105,Paweł Poljański,BORA - hansgrohe,Unclassed,64,4,0,0,0,0,0,0,20,44,64
riderprofile.php?rider=20201120,Kamil Gradek,CCC Team,Unclassed,143,4,103,2,0,0,10,0,20,8,143
riderprofile.php?rider=20201123,Pavel Kochetkov,CCC Team,Unclassed,0,4,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20201155,Mathias Le Turnier,Cofidis Solutions Crédits,Unclassed,0,4,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20201159,Marco Mathis,Cofidis Solutions Crédits,Unclassed,50,4,30,0,0,0,0,0,20,0,50
riderprofile.php?rider=20201163,Stéphane Rossetto,Cofidis Solutions Crédits,Unclassed,46,4,0,0,0,0,0,6,40,0,46
riderprofile.php?rider=20201198,Sean Bennett,EF Pro Cycling,Unclassed,51,4,35,0,0,0,0,0,0,16,51
riderprofile.php?rider=20201226,James Whelan,EF Pro Cycling,Unclassed,66,4,0,0,0,0,0,0,40,26,66
riderprofile.php?rider=20201237,Jacopo Guarnieri,Groupama - FDJ,Unclassed,83,4,51,0,0,0,0,0,0,32,83
riderprofile.php?rider=20201238,Simon Guglielmi,Groupama - FDJ,Unclassed,52,4,0,0,0,0,0,0,20,32,52
riderprofile.php?rider=20201239,Ignatas Konovalovas,Groupama - FDJ,Unclassed,32,4,0,0,0,0,0,0,0,32,32
