Rider_Link,Rider,Team,Class,Cost,Selected,Points,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20210813,Michael Storer,Team DSM,Unclassed,6,0.2%,145,28,0,0,5,15,15,20,62,145
riderprofile.php?rider=20210819,Edoardo Affini,Team Jumbo-Visma,Unclassed,6,2.4%,668,520,26,13,0,15,0,20,74,668
riderprofile.php?rider=20210843,Jos Van Emden,Team Jumbo-Visma,Unclassed,6,0.5%,156,110,14,0,0,0,0,0,32,156
riderprofile.php?rider=20210869,Victor Campenaerts,Team Qhubeka ASSOS,Unclassed,6,5.5%,453,319,5,0,0,25,0,80,24,453
riderprofile.php?rider=20210873,Kilian Frankiny,Team Qhubeka ASSOS,Climber,6,0.1%,32,0,0,0,0,0,0,0,32,32
riderprofile.php?rider=20210889,Max Walscheid,Team Qhubeka ASSOS,Sprinter,6,0.5%,341,276,13,0,0,0,0,20,32,341
riderprofile.php?rider=20210919,Gianluca Brambilla,Trek - Segafredo,Climber,6,2.6%,204,144,0,0,0,0,0,20,40,204
riderprofile.php?rider=20210932,Jacopo Mosca,Trek - Segafredo,Unclassed,6,0.2%,258,128,0,0,0,10,0,80,40,258
riderprofile.php?rider=20210933,Matteo Moschetti,Trek - Segafredo,Unclassed,6,2.5%,430,390,0,0,0,0,0,0,40,430
riderprofile.php?rider=20210951,Valerio Conti,UAE-Team Emirates,Unclassed,6,1.5%,72,0,6,0,0,0,0,40,26,72
riderprofile.php?rider=20210953,Alessandro Covi,UAE-Team Emirates,Unclassed,6,0.3%,473,387,0,0,0,0,6,60,20,473
riderprofile.php?rider=20210955,Joe Dombrowski,UAE-Team Emirates,Unclassed,6,0.8%,294,220,26,0,24,0,0,20,4,294
riderprofile.php?rider=20210966,Juan Sebastián Molano,UAE-Team Emirates,Sprinter,6,0.4%,286,240,0,0,0,0,0,20,26,286
riderprofile.php?rider=20210973,Maximiliano Richeze,UAE-Team Emirates,Unclassed,6,0.2%,50,4,0,0,0,0,0,20,26,50
riderprofile.php?rider=20210001,François Bidard,AG2R Citroën Team ,Unclassed,4,0.5%,0,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20210013,Alexis Gougeard,AG2R Citroën Team ,Unclassed,4,1.5%,144,80,0,0,1,15,0,40,8,144
riderprofile.php?rider=20210017,Lawrence Naesen,AG2R Citroën Team ,Unclassed,4,0.5%,237,209,0,0,0,0,0,20,8,237
riderprofile.php?rider=20210038,Jimmy Janssens,Alpecin-Fenix,Unclassed,4,0.7%,40,0,0,0,0,0,0,20,20,40
riderprofile.php?rider=20210040,Senne Leysen,Alpecin-Fenix,Unclassed,4,0.1%,20,0,0,0,0,0,0,0,20,20
riderprofile.php?rider=20210049,Oscar Riesebeek,Alpecin-Fenix,Unclassed,4,0.4%,231,180,0,0,0,15,0,20,16,231
riderprofile.php?rider=20210074,Andrii Ponomar,Androni Giocattoli - Sidermec,Unclassed,4,0.5%,82,12,0,0,0,10,0,60,0,82
riderprofile.php?rider=20210075,Simone Ravanelli,Androni Giocattoli - Sidermec,Unclassed,4,0.7%,145,60,0,0,0,25,0,60,0,145
riderprofile.php?rider=20210078,Eduardo Sepúlveda,Androni Giocattoli - Sidermec,Unclassed,4,2.6%,37,37,0,0,0,0,0,0,0,37
riderprofile.php?rider=20210079,Filippo Tagliani,Androni Giocattoli - Sidermec,Unclassed,4,0.5%,152,55,0,2,10,45,0,40,0,152
riderprofile.php?rider=20210082,Nicola Venchiarutti,Androni Giocattoli - Sidermec,Unclassed,4,0.3%,60,0,0,0,0,20,0,40,0,60
riderprofile.php?rider=20210086,Samuele Battistella,Astana - Premier Tech,Unclassed,4,1.6%,168,110,0,0,0,0,0,20,38,168
riderprofile.php?rider=20210107,Vadim Pronskiy,Astana - Premier Tech,Unclassed,4,0.5%,58,20,0,0,0,0,0,0,38,58
riderprofile.php?rider=20210140,Yukiya Arashiro,Bahrain - Victorious,Unclassed,4,0.7%,88,0,0,0,0,0,0,0,88,88
riderprofile.php?rider=20210170,Giovanni Carboni,Bardiani-CSF-Faizanè,Unclassed,4,2.0%,179,120,0,0,0,15,2,40,2,179
riderprofile.php?rider=20210174,Davide Gabburo,Bardiani-CSF-Faizanè,Unclassed,4,0.3%,17,0,0,0,0,15,0,0,2,17
riderprofile.php?rider=20210178,Umberto Marengo,Bardiani-CSF-Faizanè,Unclassed,4,0.4%,188,0,0,0,6,100,0,80,2,188
riderprofile.php?rider=20210187,Filippo Zana,Bardiani-CSF-Faizanè,Unclassed,4,1.4%,157,95,0,0,0,0,0,60,2,157
riderprofile.php?rider=20210189,Samuele Zoccarato,Bardiani-CSF-Faizanè,Unclassed,4,0.9%,61,0,0,0,4,15,0,40,2,61
riderprofile.php?rider=20210224,Giovanni Aleotti,BORA - hansgrohe,Unclassed,4,2.0%,42,0,0,0,0,10,0,20,12,42
riderprofile.php?rider=20210226,Cesare Benedetti,BORA - hansgrohe,Unclassed,4,3.2%,12,0,0,0,0,0,0,0,12,12
riderprofile.php?rider=20210238,Daniel Oss,BORA - hansgrohe,Unclassed,4,6.9%,12,0,0,0,0,0,0,0,12,12
