Rider_Link,Rider,Team,Class,Cost,Selected,Points,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20210970,Tadej Pogačar,UAE-Team Emirates,All Rounder,24,49.1%,2906,1462,1155,26,183,0,80,0,0,2906
riderprofile.php?rider=20210838,Primož Roglič,Team Jumbo-Visma,All Rounder,22,60.0%,537,415,64,6,0,0,0,0,52,537
riderprofile.php?rider=20210543,Geraint Thomas,INEOS Grenadiers,All Rounder,18,23.9%,178,88,44,0,0,0,0,0,46,178
riderprofile.php?rider=20210322,Julian Alaphilippe,Deceuninck - Quick Step,Climber,16,41.4%,1073,606,163,96,28,55,21,60,44,1073
riderprofile.php?rider=20210519,Richard Carapaz,INEOS Grenadiers,Climber,16,29.5%,1524,674,743,0,33,0,44,0,30,1524
riderprofile.php?rider=20210842,Wout Van Aert,Team Jumbo-Visma,Sprinter,16,23.8%,1824,1198,244,42,112,6,58,40,124,1824
riderprofile.php?rider=20210243,Peter Sagan,BORA - hansgrohe,Sprinter,14,23.0%,344,320,0,0,0,24,0,0,0,344
riderprofile.php?rider=20210535,Richie Porte,INEOS Grenadiers,All Rounder,14,17.6%,116,70,0,0,0,0,0,0,46,116
riderprofile.php?rider=20210057,Mathieu Van Der Poel,Alpecin-Fenix,Sprinter,12,27.2%,928,619,181,39,50,1,0,20,18,928
riderprofile.php?rider=20210401,Rigoberto Urán,EF Education - Nippo,All Rounder,12,14.2%,935,351,498,0,0,0,6,0,80,935
riderprofile.php?rider=20210526,Tao Geoghegan Hart,INEOS Grenadiers,Climber,12,8.4%,46,0,0,0,0,0,0,0,46,46
riderprofile.php?rider=20210613,Caleb Ewan,Lotto Soudal,Sprinter,12,28.7%,27,0,0,1,0,26,0,0,0,27
riderprofile.php?rider=20210647,Miguel Ángel López,Movistar Team,All Rounder,12,15.2%,8,0,0,0,0,0,0,0,8,8
riderprofile.php?rider=20210769,Simon Yates,Team BikeExchange,Climber,12,19.5%,176,140,4,0,0,0,2,20,10,176
riderprofile.php?rider=20210042,Tim Merlier,Alpecin-Fenix,Sprinter,10,2.5%,379,315,0,6,0,0,0,0,58,379
riderprofile.php?rider=20210094,Jakob Fuglsang,Astana - Premier Tech,All Rounder,10,4.7%,46,0,22,0,0,6,0,0,18,46
riderprofile.php?rider=20210146,Sonny Colbrelli,Bahrain - Victorious,Sprinter,10,11.7%,1069,611,4,149,0,97,8,0,200,1069
