Rider_Link,Rider,Team,Class,Cost,Selected,Points,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20221085,Brandon McNulty,UAE Team Emirates,All Rounder,8,2.4%,428,194,60,0,0,0,18,40,116,428
riderprofile.php?rider=20220030,Geoffrey Bouchard,AG2R Citroën Team,Climber,6,1.5%,0,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20220034,Benoît Cosnefroy,AG2R Citroën Team,Unclassed,6,7.1%,52,0,0,0,0,4,0,40,8,52
riderprofile.php?rider=20220035,Stan Dewulf,AG2R Citroën Team,Unclassed,6,0.3%,48,16,0,0,0,24,0,0,8,48
riderprofile.php?rider=20220040,Bob Jungels,AG2R Citroën Team,Unclassed,6,2.4%,691,371,232,0,17,6,25,40,0,691
riderprofile.php?rider=20220045,Aurélien Paret-Peintre,AG2R Citroën Team,Unclassed,6,0.4%,53,12,33,0,0,0,0,0,8,53
riderprofile.php?rider=20220078,Kristian Sbaragli,Alpecin-Fenix,Unclassed,6,0.1%,70,20,0,0,0,4,0,20,26,70
riderprofile.php?rider=20220096,Joe Dombrowski,Astana Qazaqstan Team,Climber,6,1.2%,20,0,0,0,0,0,0,20,0,20
riderprofile.php?rider=20220098,Fabio Felline,Astana Qazaqstan Team,Unclassed,6,0.6%,0,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20220106,Gianni Moscon,Astana Qazaqstan Team,Unclassed,6,0.9%,0,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20220115,Simone Velasco,Astana Qazaqstan Team,Unclassed,6,0.1%,96,56,0,0,0,0,0,40,0,96
riderprofile.php?rider=20220142,Franck Bonnamour,B&B Hotels - KTM,Climber,6,1.3%,65,25,0,0,0,0,0,40,0,65
riderprofile.php?rider=20220158,Luca Mozzato,B&B Hotels - KTM,Sprinter,6,0.2%,440,440,0,0,0,0,0,0,0,440
riderprofile.php?rider=20220160,Pierre Rolland,B&B Hotels - KTM,Climber,6,3.9%,28,8,0,0,0,0,0,20,0,28
riderprofile.php?rider=20220184,Luis León Sánchez,Bahrain - Victorious,Unclassed,6,0.7%,473,220,170,0,0,19,0,60,4,473
riderprofile.php?rider=20220186,Dylan Teuns,Bahrain - Victorious,Climber,6,8.1%,495,305,90,0,0,4,10,80,6,495
riderprofile.php?rider=20220187,Jan Tratnik,Bahrain - Victorious,Unclassed,6,1.3%,119,80,11,0,0,22,0,0,6,119
riderprofile.php?rider=20220189,Fred Wright,Bahrain - Victorious,Unclassed,6,1.2%,575,487,0,0,0,26,0,60,2,575
riderprofile.php?rider=20220257,Marco Haller,BORA - hansgrohe,Sprinter,6,0.3%,67,35,0,0,0,4,0,0,28,67
riderprofile.php?rider=20220263,Patrick Konrad,BORA - hansgrohe,All Rounder,6,1.1%,396,173,131,0,0,4,0,60,28,396
riderprofile.php?rider=20220269,Nils Politt,BORA - hansgrohe,Unclassed,6,4.1%,190,40,0,0,0,62,0,60,28,190
riderprofile.php?rider=20220271,Maximilian Schachmann,BORA - hansgrohe,All Rounder,6,3.9%,208,105,13,0,0,2,0,60,28,208
riderprofile.php?rider=20220274,Danny Van Poppel,BORA - hansgrohe,Sprinter,6,2.7%,538,510,0,0,0,0,0,0,28,538
riderprofile.php?rider=20220332,Simon Geschke,Cofidis,Unclassed,6,1.7%,608,170,0,0,242,25,71,100,0,608
riderprofile.php?rider=20220337,Victor Lafay,Cofidis,Unclassed,6,2.4%,0,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20220340,Pierre-Luc Périchon,Cofidis,Unclassed,6,0.0%,0,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20220349,Max Walscheid,Cofidis,Sprinter,6,1.5%,80,80,0,0,0,0,0,0,0,80
riderprofile.php?rider=20220375,Alberto Bettiol,EF Education-EasyPost,Unclassed,6,4.8%,472,392,0,0,0,20,0,40,20,472
riderprofile.php?rider=20220376,Stefan Bissegger,EF Education-EasyPost,Unclassed,6,8.4%,72,8,0,0,0,20,0,20,24,72
riderprofile.php?rider=20220394,Neilson Powless,EF Education-EasyPost,All Rounder,6,6.3%,910,422,290,0,36,15,55,80,12,910
riderprofile.php?rider=20220529,Kevin Geniets,Groupama - FDJ,Unclassed,6,0.3%,78,0,0,0,0,0,0,0,78,78
riderprofile.php?rider=20220532,Stefan Küng,Groupama - FDJ,Unclassed,6,26.8%,410,240,39,0,0,13,0,40,78,410
riderprofile.php?rider=20220537,Valentin Madouas,Groupama - FDJ,Unclassed,6,0.7%,642,278,231,0,0,0,19,40,74,642
