Rider_Link,Rider,Team,Class,Points,Cost,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20201376,Benjamin Dyball,NTT Pro Cycling,Unclassed,24,6,0,0,0,0,0,0,20,4,24
riderprofile.php?rider=20201377,Enrico Gasparotto,NTT Pro Cycling,Unclassed,24,6,0,0,0,0,0,0,20,4,24
riderprofile.php?rider=20201382,Reinardt Janse Van Rensburg,NTT Pro Cycling,Sprinter,339,6,335,0,0,0,0,0,0,4,339
riderprofile.php?rider=20201395,Michael Valgren,NTT Pro Cycling,Unclassed,243,6,217,0,0,0,0,2,20,4,243
riderprofile.php?rider=20201433,Robert Gesink,Team Jumbo-Visma,Unclassed,333,6,52,9,0,0,0,4,0,268,333
riderprofile.php?rider=20201452,Jonas Vingegaard,Team Jumbo-Visma,Unclassed,298,6,30,0,0,0,0,0,0,268,298
riderprofile.php?rider=20201475,Robert Power,Team Sunweb,Unclassed,230,6,150,0,0,0,0,12,60,8,230
riderprofile.php?rider=20201478,Michael Storer,Team Sunweb,Unclassed,413,6,333,0,0,0,10,24,40,6,413
riderprofile.php?rider=20201480,Jasha Sütterlin,Team Sunweb,Unclassed,351,6,293,0,0,0,10,0,40,8,351
riderprofile.php?rider=20202563,Jonathan Hivert,Team Total Direct Energie,Unclassed,45,6,0,0,0,0,5,0,40,0,45
riderprofile.php?rider=20202564,Pim Ligthart,Team Total Direct Energie,Unclassed,30,6,0,0,0,0,10,0,20,0,30
riderprofile.php?rider=20202566,Lorrenzo Manzin,Team Total Direct Energie,Unclassed,190,6,190,0,0,0,0,0,0,0,190
riderprofile.php?rider=20202571,Julien Simon,Team Total Direct Energie,Unclassed,230,6,190,0,0,0,0,0,40,0,230
riderprofile.php?rider=20202574,Niki Terpstra,Team Total Direct Energie,Unclassed,20,6,0,0,0,0,0,0,20,0,20
riderprofile.php?rider=20201489,Niklas Eg,Trek - Segafredo,Unclassed,48,6,12,0,0,0,0,16,20,0,48
riderprofile.php?rider=20201490,Kenny Elissonde,Trek - Segafredo,Climber,178,6,134,34,0,0,10,0,0,0,178
riderprofile.php?rider=20201491,Alexander Kamp,Trek - Segafredo,Unclassed,0,6,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20201493,Emīls Liepiņš,Trek - Segafredo,Unclassed,75,6,75,0,0,0,0,0,0,0,75
riderprofile.php?rider=20201494,Juan Pedro López,Trek - Segafredo,Unclassed,0,6,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20201497,Matteo Moschetti,Trek - Segafredo,Sprinter,110,6,110,0,0,0,0,0,0,0,110
riderprofile.php?rider=20201522,Sergio Henao,UAE-Team Emirates,Climber,351,6,116,163,0,0,0,0,20,52,351
riderprofile.php?rider=20201531,Rui Oliveira,UAE-Team Emirates,Unclassed,80,6,28,0,0,0,0,0,0,52,80
riderprofile.php?rider=20201536,Alexandr Riabushenko,UAE-Team Emirates,Unclassed,84,6,12,0,0,0,0,0,20,52,84
riderprofile.php?rider=20201009,Axel Domont,AG2R La Mondiale,Unclassed,0,4,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20201014,Alexandre Geniez,AG2R La Mondiale,Unclassed,0,4,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20201024,Harry Tanfield,AG2R La Mondiale,Unclassed,55,4,20,0,0,0,15,0,20,0,55
riderprofile.php?rider=20201068,Scott Davies,Bahrain - McLaren,Unclassed,0,4,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20201073,Kevin Inkelaar,Bahrain - McLaren,Unclassed,0,4,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20201085,Stephen Williams,Bahrain - McLaren,Unclassed,0,4,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20201086,Alfred Wright,Bahrain - McLaren,Unclassed,205,4,185,0,0,0,0,0,20,0,205
riderprofile.php?rider=20201110,Ide Schelling,BORA - hansgrohe,Unclassed,104,4,80,0,0,0,0,0,0,24,104
riderprofile.php?rider=20201111,Andreas Schillinger,BORA - hansgrohe,Unclassed,44,4,0,0,0,0,0,0,20,24,44
riderprofile.php?rider=20201112,Michael Schwarzmann,BORA - hansgrohe,Unclassed,24,4,0,0,0,0,0,0,0,24,24
riderprofile.php?rider=20202145,Óscar Cabedo,Burgos-BH,Unclassed,20,4,0,0,0,0,0,0,20,0,20
riderprofile.php?rider=20202149,Jesús Ezquerra,Burgos-BH,Unclassed,90,4,40,0,0,0,10,0,40,0,90
riderprofile.php?rider=20202157,Juan Felipe Osorio,Burgos-BH,Unclassed,62,4,12,0,0,0,10,0,40,0,62
riderprofile.php?rider=20202161,Willie Smit,Burgos-BH,Unclassed,50,4,0,0,0,0,10,0,40,0,50
riderprofile.php?rider=20202163,Ricardo Vilela,Burgos-BH,Unclassed,0,4,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20202165,Julen Amezqueta,Caja Rural - Seguros RGA,Unclassed,20,4,0,0,0,0,0,0,20,0,20
riderprofile.php?rider=20202167,Aritz Bagües,Caja Rural - Seguros RGA,Unclassed,55,4,0,0,0,0,15,0,40,0,55
riderprofile.php?rider=20202170,Jefferson Alveiro Cepeda,Caja Rural - Seguros RGA,Unclassed,20,4,0,0,0,0,0,0,20,0,20
riderprofile.php?rider=20202172,Jhojan García,Caja Rural - Seguros RGA,Unclassed,20,4,0,0,0,0,0,0,20,0,20
riderprofile.php?rider=20202182,Héctor Sáez,Caja Rural - Seguros RGA,Unclassed,15,4,0,0,0,0,15,0,0,0,15
riderprofile.php?rider=20201114,Will Barta,CCC Team,Unclassed,247,4,200,45,0,0,0,0,0,2,247
riderprofile.php?rider=20201127,Michał Paluta,CCC Team,Unclassed,2,4,0,0,0,0,0,0,0,2,2
riderprofile.php?rider=20201138,Francisco José Ventoso,CCC Team,Unclassed,2,4,0,0,0,0,0,0,0,2,2
riderprofile.php?rider=20201139,Łukasz Wiśniowski,CCC Team,Unclassed,54,4,32,0,0,0,0,0,20,2,54
riderprofile.php?rider=20201141,Georg Zimmermann,CCC Team,Unclassed,101,4,29,50,0,0,0,0,20,2,101
riderprofile.php?rider=20201144,Natnael Berhane,Cofidis Solutions Crédits,Unclassed,4,4,0,0,0,0,0,0,0,4,4
riderprofile.php?rider=20201153,Victor Lafay,Cofidis Solutions Crédits,Unclassed,69,4,40,0,0,0,5,0,20,4,69
riderprofile.php?rider=20201160,Emmanuel Morin,Cofidis Solutions Crédits,Unclassed,234,4,230,0,0,0,0,0,0,4,234
riderprofile.php?rider=20201182,Ian Garrison,Deceuninck - Quick Step,Unclassed,18,4,0,0,0,0,0,0,0,18,18
riderprofile.php?rider=20201206,Mitchell Docker,EF Pro Cycling,Unclassed,52,4,0,0,0,0,0,0,0,52,52
riderprofile.php?rider=20201217,Logan Owen,EF Pro Cycling,Unclassed,52,4,0,0,0,0,0,0,0,52,52
riderprofile.php?rider=20201222,Julius Van Den Berg,EF Pro Cycling,Unclassed,72,4,0,0,0,0,0,0,20,52,72
riderprofile.php?rider=20201228,Bruno Armirail,Groupama - FDJ,Unclassed,218,4,125,15,0,0,20,2,40,16,218
riderprofile.php?rider=20201231,Mickaël Delage,Groupama - FDJ,Unclassed,16,4,0,0,0,0,0,0,0,16,16
riderprofile.php?rider=20201241,Matthieu Ladagnous,Groupama - FDJ,Unclassed,23,4,0,0,0,0,15,0,0,8,23
riderprofile.php?rider=20201242,Olivier Le Gac,Groupama - FDJ,Unclassed,16,4,0,0,0,0,0,0,0,16,16
riderprofile.php?rider=20201252,Romain Seigle,Groupama - FDJ,Unclassed,0,4,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20204069,Cameron Wurf,Ineos Grenadiers,Unclassed,110,4,0,0,0,0,0,0,20,90,110
riderprofile.php?rider=20201265,Omer Goldstein,Israel Start-Up Nation,Unclassed,44,4,0,0,0,0,0,0,0,44,44
riderprofile.php?rider=20201269,Reto Hollenstein,Israel Start-Up Nation,Unclassed,44,4,0,0,0,0,0,0,0,44,44
riderprofile.php?rider=20201278,Alexis Renard,Israel Start-Up Nation,Unclassed,154,4,110,0,0,0,0,0,0,44,154
riderprofile.php?rider=20201281,Rory Sutherland,Israel Start-Up Nation,Unclassed,44,4,0,0,0,0,0,0,0,44,44
riderprofile.php?rider=20201291,Stan Dewulf,Lotto Soudal,Unclassed,155,4,90,0,0,0,25,0,20,20,155
riderprofile.php?rider=20201296,Kobe Goossens,Lotto Soudal,Unclassed,95,4,0,35,0,0,0,0,40,20,95
riderprofile.php?rider=20201303,Tomasz Marczyński,Lotto Soudal,Unclassed,40,4,0,0,0,0,0,0,20,20,40
riderprofile.php?rider=20201304,Rémy Mertz,Lotto Soudal,Unclassed,20,4,0,0,0,0,0,0,0,20,20
riderprofile.php?rider=20201306,Gerben Thijssen,Lotto Soudal,Unclassed,341,4,325,0,0,0,0,0,0,16,341
riderprofile.php?rider=20201309,Brent Van Moer,Lotto Soudal,Unclassed,55,4,0,0,0,0,15,0,20,20,55
riderprofile.php?rider=20201321,Alex Edmondson,Mitchelton-Scott,Unclassed,44,4,12,0,0,0,0,0,20,12,44
